id,year,sport,medal_type
1,1900,Tug-Of-War Men's Tug-Of-War,Gold
2,1920,Swimming Men's 200 metres Breaststroke,Bronze
3,1920,Swimming Men's 400 metres Breaststroke,Bronze
4,2014,Ice Hockey Men's Ice Hockey,Bronze
5,1948,Gymnastics Men's Individual All-Around,Bronze
6,1948,Gymnastics Men's Team All-Around,Gold
7,1948,Gymnastics Men's Horse Vault,Gold
8,1948,Gymnastics Men's Pommelled Horse,Gold
9,1952,Gymnastics Men's Team All-Around,Bronze
10,1992,Alpine Skiing Men's Super G,Gold
11,1992,Alpine Skiing Men's Giant Slalom,Bronze
12,1994,Alpine Skiing Men's Downhill,Silver
13,1994,Alpine Skiing Men's Super G,Bronze
14,1994,Alpine Skiing Men's Combined,Silver
15,2002,Alpine Skiing Men's Super G,Gold
16,2002,Alpine Skiing Men's Combined,Gold
17,2006,Alpine Skiing Men's Super G,Gold
18,2008,Handball Women's Handball,Gold
19,1920,"Gymnastics Men's Team All-Around, Free System",Silver
20,1988,Hockey Women's Hockey,Bronze
21,1996,Rowing Men's Lightweight Double Sculls,Silver
22,1996,Football Women's Football,Bronze
23,1920,"Gymnastics Men's Team All-Around, Free System",Silver
24,1952,"Speed Skating Men's 1,500 metres",Bronze
25,1960,"Speed Skating Men's 1,500 metres",Gold
26,1912,Sailing Mixed 8 metres,Gold
27,1956,"Cycling Men's Road Race, Team",Gold
28,2016,Rowing Men's Coxless Pairs,Bronze
29,2008,"Fencing Men's epee, Individual",Bronze
30,2016,Taekwondo Women's Flyweight,Bronze
31,2008,Athletics Women's Javelin Throw,Silver
32,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
33,2008,Handball Men's Handball,Gold
34,2012,Handball Men's Handball,Gold
35,2016,Handball Men's Handball,Silver
36,2000,Football Men's Football,Gold
37,1996,Water Polo Men's Water Polo,Gold
38,2004,"Wrestling Men's Featherweight, Freestyle",Silver
39,1980,Sailing Mixed Two Person Heavyweight Dinghy,Gold
40,1984,"Athletics Men's 1,500 metres",Bronze
41,2004,Cycling Women's Sprint,Silver
42,2008,Handball Men's Handball,Gold
43,1992,"Fencing Men's Sabre, Team",Silver
44,1936,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
45,1936,Modern Pentathlon Men's Individual,Bronze
46,1988,Rowing Men's Quadruple Sculls,Gold
47,1996,Rowing Men's Double Sculls,Gold
48,2000,Rowing Men's Quadruple Sculls,Gold
49,1984,Rowing Men's Coxed Pairs,Gold
50,1988,Rowing Men's Coxed Pairs,Gold
51,1992,Rowing Men's Coxed Pairs,Silver
52,1984,Rowing Men's Coxed Pairs,Gold
53,1988,Rowing Men's Coxed Pairs,Gold
54,1992,Rowing Men's Coxed Pairs,Silver
55,1906,Football Men's Football,Bronze
56,2008,Hockey Men's Hockey,Bronze
57,2014,Figure Skating Mixed Team,Bronze
58,1900,Golf Women's Individual,Gold
59,2008,Softball Women's Softball,Silver
60,2004,Taekwondo Women's Featherweight,Silver
61,2016,"Wrestling Men's Middleweight, Greco-Roman",Bronze
62,1984,Swimming Women's 4 x 100 metres Medley Relay,Bronze
63,1960,Hockey Men's Hockey,Gold
64,1964,Hockey Men's Hockey,Silver
65,1972,"Wrestling Men's Featherweight, Freestyle",Gold
66,2000,Boxing Men's Light-Welterweight,Gold
67,1996,"Wrestling Men's Flyweight, Freestyle",Silver
68,2000,"Wrestling Men's Bantamweight, Freestyle",Gold
69,2000,Basketball Men's Basketball,Gold
70,2008,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
71,1992,Athletics Men's Hammer Throw,Gold
72,1994,Nordic Combined Men's Team,Gold
73,1992,"Athletics Men's 10,000 metres",Bronze
74,1924,Football Men's Football,Silver
75,1924,Ice Hockey Men's Ice Hockey,Silver
76,1952,Ice Hockey Men's Ice Hockey,Gold
77,1972,Gymnastics Women's Team All-Around,Silver
78,2012,Diving Women's Synchronized Springboard,Bronze
79,1920,Sailing Mixed 7 metres,Silver
80,1992,Football Men's Football,Gold
81,1900,Rowing Men's Coxed Eights,Gold
82,1904,Rowing Men's Coxed Eights,Gold
83,2000,Athletics Men's Marathon,Gold
84,1912,Athletics Men's Long Jump,Bronze
85,1912,Athletics Men's Triple Jump,Silver
86,2000,Baseball Men's Baseball,Gold
87,1956,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
88,2008,"Athletics Women's 5,000 metres",Silver
89,1980,"Wrestling Men's Middleweight, Freestyle",Gold
90,1932,Athletics Men's 4 x 400 metres Relay,Gold
91,2012,Gymnastics Men's Floor Exercise,Bronze
92,2012,Gymnastics Men's Horse Vault,Silver
93,2016,Gymnastics Men's Team All-Around,Silver
94,2016,Gymnastics Men's Horse Vault,Silver
95,2016,Gymnastics Men's Rings,Bronze
96,1972,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
97,1972,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
98,2016,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
99,2012,"Fencing Men's Foil, Individual",Silver
100,1988,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
101,1988,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
102,1992,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
103,1980,Swimming Men's 4 x 100 metres Medley Relay,Bronze
104,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
105,1924,Athletics Men's 100 metres,Gold
106,1924,Athletics Men's 4 x 100 metres Relay,Silver
107,1912,"Gymnastics Men's Team All-Around, Free System",Gold
108,1920,Athletics Men's Long Jump,Bronze
109,1928,Ice Hockey Men's Ice Hockey,Silver
110,2004,Volleyball Men's Volleyball,Bronze
111,1964,Volleyball Women's Volleyball,Silver
112,2006,Speed Skating Women's Team Pursuit (6 laps),Bronze
113,2016,Basketball Men's Basketball,Bronze
114,2008,Basketball Women's Basketball,Bronze
115,1980,"Wrestling Men's Lightweight, Freestyle",Gold
116,2004,"Cycling Men's Mountainbike, Cross-Country",Gold
117,2008,"Cycling Men's Mountainbike, Cross-Country",Gold
118,2016,Taekwondo Men's Featherweight,Gold
119,1964,Gymnastics Women's Team All-Around,Bronze
120,1980,"Fencing Men's epee, Team",Bronze
121,1980,"Wrestling Men's Featherweight, Freestyle",Gold
122,2008,Gymnastics Women's Team All-Around,Bronze
123,2012,Handball Men's Handball,Gold
124,1988,Alpine Skiing Men's Combined,Bronze
125,1920,Football Men's Football,Silver
126,1992,Boxing Men's Welterweight,Bronze
127,1984,"Wrestling Men's Flyweight, Greco-Roman",Silver
128,1992,Football Men's Football,Bronze
129,1984,Cycling Men's 100 kilometres Team Time Trial,Silver
130,1988,Boxing Men's Featherweight,Bronze
131,1992,Boxing Men's Bantamweight,Bronze
132,1968,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
133,2012,Rowing Women's Coxed Eights,Bronze
134,2016,Rowing Women's Quadruple Sculls,Silver
135,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
136,1976,Hockey Men's Hockey,Gold
137,1920,"Wrestling Men's Featherweight, Freestyle",Gold
138,2002,Nordic Combined Men's Team,Silver
139,2002,Nordic Combined Men's Sprint,Silver
140,2006,Nordic Combined Men's Team,Silver
141,1992,Bobsleigh Men's Two,Gold
142,1992,Bobsleigh Men's Four,Bronze
143,1994,Bobsleigh Men's Two,Gold
144,1994,Bobsleigh Men's Four,Silver
145,1994,Bobsleigh Men's Two,Silver
146,2008,Football Men's Football,Gold
147,2008,Boxing Men's Heavyweight,Bronze
148,1952,Basketball Men's Basketball,Bronze
149,1980,Boxing Men's Lightweight,Bronze
150,1936,Rowing Men's Coxed Eights,Gold
151,1976,Modern Pentathlon Men's Team,Silver
152,2006,Curling Men's Curling,Gold
153,1936,"Fencing Men's Foil, Team",Bronze
154,1948,"Cycling Men's Team Pursuit, 4,000 metres",Gold
155,1992,Football Men's Football,Silver
156,1912,Athletics Men's Standing High Jump,Silver
157,1912,Athletics Men's Standing Long Jump,Bronze
158,1904,Swimming Men's Plunge For Distance,Silver
159,1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
160,1980,Judo Men's Lightweight,Silver
161,1984,Judo Men's Half-Middleweight,Silver
162,2012,Boxing Women's Flyweight,Gold
163,2016,Boxing Women's Flyweight,Gold
164,1912,Athletics Men's Standing High Jump,Gold
165,1912,Athletics Men's Standing Long Jump,Silver
166,2016,Volleyball Women's Volleyball,Bronze
167,2014,Curling Women's Curling,Bronze
168,2008,Athletics Women's Shot Put,Gold
169,2012,Athletics Women's Shot Put,Gold
170,2016,Athletics Women's Shot Put,Silver
171,2012,Rowing Men's Coxed Eights,Gold
172,1936,Rowing Men's Coxed Pairs,Gold
173,1960,Boxing Men's Featherweight,Silver
174,1992,Football Men's Football,Bronze
175,1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
176,2008,Football Men's Football,Silver
177,2008,Football Men's Football,Silver
178,1984,Football Men's Football,Silver
179,1988,Football Men's Football,Silver
180,1992,Athletics Men's 4 x 100 metres Relay,Silver
181,2012,Volleyball Women's Volleyball,Gold
182,1992,"Canoeing Men's Canadian Doubles, Slalom",Bronze
183,1996,"Canoeing Men's Canadian Doubles, Slalom",Gold
184,2010,Bobsleigh Men's Two,Silver
185,1992,Football Men's Football,Bronze
186,1952,Boxing Men's Light-Welterweight,Gold
187,1996,Athletics Men's 400 metres Hurdles,Gold
188,1948,Hockey Men's Hockey,Silver
189,1984,Sailing Mixed Three Person Keelboat,Silver
190,1960,Cycling Men's 100 kilometres Team Time Trial,Silver
191,1912,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
192,1936,"Equestrianism Men's Dressage, Team",Bronze
193,1912,"Equestrianism Men's Three-Day Event, Team",Gold
194,1908,"Tennis Women's Singles, Covered Courts",Bronze
195,1912,Diving Men's Platform,Gold
196,1912,Diving Men's Plain High,Gold
197,1920,Diving Men's Platform,Silver
198,2008,Swimming Women's 400 metres Freestyle,Gold
199,2008,Swimming Women's 800 metres Freestyle,Gold
200,2012,Swimming Women's 400 metres Freestyle,Bronze
201,2012,Swimming Women's 800 metres Freestyle,Bronze
202,2000,Basketball Men's Basketball,Bronze
203,2008,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
204,2012,Swimming Men's 100 metres Freestyle,Gold
205,2012,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
206,2012,Swimming Men's 4 x 100 metres Medley Relay,Gold
207,2016,Swimming Men's 50 metres Freestyle,Bronze
208,2016,Swimming Men's 100 metres Freestyle,Bronze
209,2016,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
210,2016,Swimming Men's 4 x 100 metres Medley Relay,Gold
211,1996,Basketball Women's Basketball,Silver
212,2000,Basketball Women's Basketball,Bronze
213,2000,Basketball Women's Basketball,Bronze
214,1996,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
215,1964,Rowing Men's Coxed Eights,Silver
216,2012,Gymnastics Women's Team All-Around,Silver
217,2002,Ice Hockey Men's Ice Hockey,Bronze
218,1996,Athletics Women's 4 x 400 metres Relay,Silver
219,1976,Rowing Women's Coxed Quadruple Sculls,Bronze
220,2016,Rugby Sevens Men's Rugby Sevens,Bronze
221,1964,Hockey Men's Hockey,Silver
222,2016,Rugby Sevens Men's Rugby Sevens,Bronze
223,1984,Gymnastics Women's Team All-Around,Gold
224,1984,Gymnastics Women's Horse Vault,Bronze
225,2004,Rowing Men's Coxless Fours,Bronze
226,2008,Rowing Men's Quadruple Sculls,Silver
227,1996,Tennis Men's Singles,Gold
228,2016,Judo Women's Half-Middleweight,Silver
229,1920,Sailing Mixed 6 metres,Bronze
230,1956,Water Polo Men's Water Polo,Bronze
231,1960,Water Polo Men's Water Polo,Silver
232,1964,Water Polo Men's Water Polo,Bronze
233,2008,Hockey Women's Hockey,Gold
234,2012,Hockey Women's Hockey,Gold
235,2012,Swimming Men's 200 metres Freestyle,Gold
236,2012,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
237,2012,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
238,2006,Ice Hockey Women's Ice Hockey,Gold
239,2010,Ice Hockey Women's Ice Hockey,Gold
240,2014,Ice Hockey Women's Ice Hockey,Gold
241,2006,Figure Skating Mixed Ice Dancing,Silver
242,1964,"Fencing Women's Foil, Team",Gold
243,1928,"Fencing Men's epee, Team",Gold
244,1932,"Fencing Men's epee, Individual",Bronze
245,1932,"Fencing Men's epee, Team",Silver
246,1948,"Fencing Men's epee, Team",Silver
247,1936,Boxing Men's Lightweight,Bronze
248,1906,Rowing Men's 17-Man Naval Rowing Boats,Gold
249,1928,Gymnastics Women's Team All-Around,Gold
250,2008,Football Men's Football,Gold
251,2000,Volleyball Women's Volleyball,Gold
252,1980,Boxing Men's Light-Welterweight,Bronze
253,2012,Handball Women's Handball,Bronze
254,2016,Rhythmic Gymnastics Women's Group,Silver
255,1992,Athletics Men's 4 x 100 metres Relay,Bronze
256,2016,Weightlifting Women's Flyweight,Silver
257,2008,Volleyball Women's Volleyball,Silver
258,1972,Ice Hockey Men's Ice Hockey,Silver
259,1908,Athletics Men's Triple Jump,Gold
260,1932,Boxing Men's Welterweight,Bronze
261,1980,Ice Hockey Men's Ice Hockey,Bronze
262,2002,Ice Hockey Women's Ice Hockey,Bronze
263,1924,Curling Men's Curling,Silver
264,1984,Ice Hockey Men's Ice Hockey,Bronze
265,1924,"Wrestling Men's Bantamweight, Greco-Roman",Silver
266,1912,"Wrestling Men's Middleweight B, Greco-Roman",Silver
267,1948,Rowing Men's Coxed Eights,Gold
268,2004,"Equestrianism Mixed Jumping, Team",Bronze
269,2016,"Equestrianism Mixed Jumping, Team",Bronze
270,1932,Boxing Men's Lightweight,Silver
271,1952,Football Men's Football,Bronze
272,2016,Badminton Mixed Doubles,Gold
273,1948,Athletics Men's Triple Jump,Gold
274,2000,Beach Volleyball Men's Beach Volleyball,Bronze
275,1992,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
276,1992,Swimming Women's 100 metres Butterfly,Silver
277,1992,Swimming Women's 4 x 100 metres Medley Relay,Gold
278,1992,Hockey Men's Hockey,Bronze
279,1968,Hockey Men's Hockey,Gold
280,1960,Hockey Men's Hockey,Gold
281,1984,Hockey Men's Hockey,Gold
282,1992,Hockey Men's Hockey,Bronze
283,1984,Hockey Men's Hockey,Gold
284,1960,Hockey Men's Hockey,Gold
285,1968,Hockey Men's Hockey,Gold
