noc_id,medal_id
56,1
69,2
69,3
69,4
69,5
69,6
69,7
69,8
69,9
151,10
151,11
151,12
151,13
151,14
151,15
151,16
151,17
151,18
151,19
146,20
146,21
151,22
151,23
151,24
151,25
151,26
70,27
101,28
64,29
15,30
172,31
26,32
70,33
70,34
70,35
44,36
64,37
217,38
64,39
64,40
172,41
70,42
91,43
91,44
101,45
101,46
101,47
101,48
101,49
101,50
101,51
101,52
101,53
101,54
82,55
13,56
217,57
217,58
217,59
217,60
95,61
37,62
155,63
155,64
215,65
218,66
15,67
15,68
217,69
201,70
67,71
105,72
66,73
191,74
217,75
37,76
77,77
37,78
151,79
64,80
217,81
217,82
66,83
194,84
194,85
217,86
171,87
208,88
33,89
217,90
172,91
172,92
172,93
172,94
172,95
215,96
215,97
13,98
61,99
91,100
91,101
91,102
75,103
194,104
75,105
75,106
151,107
194,108
194,109
172,110
215,111
172,112
64,113
172,114
215,115
70,116
70,117
104,118
105,119
215,120
215,121
170,122
70,123
191,124
64,125
166,126
131,127
81,128
191,129
126,130
126,131
215,132
146,133
146,134
194,135
153,136
217,137
80,138
80,139
80,140
191,141
191,142
191,143
191,144
191,145
9,146
53,147
216,148
163,149
217,150
198,151
37,152
80,153
70,154
163,155
217,156
217,157
217,158
217,159
75,160
75,161
75,162
75,163
217,164
217,165
217,166
75,167
153,168
153,169
153,170
80,171
80,172
163,173
81,174
191,175
149,176
149,177
30,178
30,179
149,180
30,181
70,182
70,183
80,184
81,185
217,186
217,187
75,188
30,189
80,190
14,191
194,192
194,193
194,194
194,195
194,196
194,197
75,198
75,199
75,200
75,201
122,202
217,203
217,204
217,205
217,206
217,207
217,208
217,209
217,210
30,211
30,212
30,213
91,214
80,215
172,216
172,217
149,218
170,219
171,220
155,221
171,222
170,223
170,224
101,225
101,226
217,227
70,228
151,229
215,230
215,231
215,232
171,233
171,234
70,235
70,236
70,237
37,238
37,239
37,240
217,241
91,242
101,243
101,244
101,245
101,246
194,247
82,248
146,249
9,250
53,251
53,252
64,253
64,254
53,255
92,256
217,257
217,258
75,259
69,260
194,261
194,262
194,263
194,264
69,265
194,266
217,267
80,268
80,269
194,270
194,271
92,272
194,273
80,274
217,275
217,276
217,277
155,278
155,279
155,280
155,281
155,282
155,283
155,284
155,285
155,286
155,287
69,288
69,289
69,290
80,291
77,292
217,293
41,294
80,295
101,296
101,297
9,298
9,299
9,300
191,301
101,302
14,303
80,304
105,305
105,306
105,307
105,308
105,309
105,310
13,311
75,312
75,313
75,314
75,315
75,316
217,317
75,318
75,319
37,320
75,321
13,322
13,323
13,324
70,325
213,326
82,327
149,328
53,329
53,330
53,331
149,332
37,333
149,334
75,335
75,336
75,337
105,338
105,339
208,340
105,341
208,342
208,343
208,344
194,345
194,346
194,347
217,348
208,349
215,350
172,351
172,352
172,353
172,354
172,355
218,356
172,357
172,358
33,359
215,360
215,361
155,362
155,363
212,364
215,365
215,366
217,367
217,368
217,369
172,370
172,371
172,372
67,373
149,374
217,375
215,376
215,377
215,378
172,379
215,380
215,381
196,382
167,383
113,384
113,385
113,386
112,387
112,388
155,389
210,390
113,391
112,392
112,393
64,394
215,395
215,396
155,397
155,398
51,399
69,400
69,401
101,402
101,403
101,404
101,405
101,406
101,407
70,408
172,409
64,410
71,411
101,412
70,413
70,414
70,415
91,416
64,417
56,418
194,419
101,420
172,421
191,422
191,423
77,424
191,425
194,426
217,427
217,428
217,429
215,430
30,431
53,432
53,433
75,434
75,435
75,436
217,437
217,438
64,439
64,440
153,441
153,442
122,443
122,444
122,445
215,446
33,447
215,448
215,449
215,450
215,451
215,452
215,453
10,454
10,455
215,456
215,457
215,458
186,459
186,460
30,461
30,462
217,463
80,464
30,465
75,466
37,467
75,468
37,469
70,470
70,471
30,472
30,473
170,474
170,475
215,476
215,477
172,478
150,479
215,480
64,481
217,482
194,483
194,484
194,485
69,486
30,487
30,488
194,489
194,490
155,491
217,492
93,493
93,494
70,495
95,496
70,497
70,498
172,499
172,500
215,501
215,502
51,503
30,504
172,505
172,506
82,507
30,508
30,509
149,510
172,511
95,512
20,513
20,514
20,515
67,516
70,517
4,518
75,519
70,520
75,521
75,522
70,523
217,524
217,525
14,526
13,527
103,528
217,529
93,530
93,531
93,532
217,533
217,534
217,535
217,536
13,537
13,538
13,539
75,540
151,541
56,542
206,543
75,544
75,545
37,546
75,547
101,548
217,549
101,550
194,551
194,552
215,553
215,554
9,555
194,556
37,557
194,558
194,559
194,560
194,561
194,562
194,563
44,564
30,565
64,566
172,567
149,568
151,569
151,570
151,571
151,572
151,573
151,574
194,575
194,576
194,577
215,578
151,579
151,580
191,581
80,582
71,583
101,584
191,585
75,586
75,587
41,588
217,589
64,590
53,591
53,592
53,593
47,594
47,595
101,596
101,597
30,598
101,599
101,600
61,601
215,602
215,603
215,604
215,605
172,606
172,607
123,608
81,609
217,610
170,611
170,612
170,613
170,614
170,615
170,616
170,617
81,618
80,619
215,620
30,621
101,622
81,623
64,624
70,625
70,626
64,627
64,628
64,629
64,630
64,631
9,632
30,633
30,634
30,635
30,636
64,637
64,638
101,639
149,640
101,641
217,642
101,643
91,644
194,645
77,646
70,647
215,648
101,649
217,650
217,651
191,652
191,653
191,654
191,655
80,656
71,657
149,658
217,659
75,660
75,661
13,662
64,663
29,664
215,665
191,666
191,667
10,668
75,669
77,670
80,671
207,672
70,673
70,674
70,675
37,676
151,677
151,678
151,679
151,680
149,681
149,682
37,683
110,684
110,685
110,686
110,687
110,688
110,689
165,690
165,691
110,692
110,693
110,694
110,695
110,696
110,697
110,698
110,699
110,700
110,701
42,702
42,703
42,704
42,705
30,706
30,707
37,708
33,709
26,710
101,711
228,712
228,713
51,714
146,715
163,716
70,717
194,718
194,719
191,720
217,721
56,722
151,723
56,724
56,725
56,726
151,727
56,728
56,729
56,730
56,731
151,732
151,733
151,734
56,735
56,736
56,737
151,738
56,739
56,740
151,741
151,742
151,743
56,744
151,745
151,746
151,747
56,748
151,749
56,750
56,751
56,752
151,753
69,754
56,755
56,756
151,757
151,758
56,759
151,760
30,761
30,762
30,763
217,764
217,765
217,766
217,767
13,768
13,769
